channel,kind,n_appliances,appliances,water_coupled,n_samples,first_seen,last_seen,span_hours,cadence_s,coverage_frac,min_w,p05_w,median_w,p95_w,p99_w,max_w,mean_w,negative_frac,zero_frac,nilm_required
Generac Power,aggregate,0,,,745890,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0635,-3.0,-1.0,0.0,1.0,3.0,6.0,0.3,0.0733,0.6023,False
Grid Power,aggregate,0,,,680140,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,-6456.0,-4048.0,19.0,4914.0,6629.0,16800.0,-758.2,0.4737,0.0135,False
Current on Utility Tie,instrument,0,,,680267,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,0.1,1.5,6.8,23.7,27.6,71.4,9.2,0.0,0.0,False
F1,instrument,0,,,745991,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0635,57.8,60.0,60.0,60.0,60.0,61.2,60.0,0.0,0.0,False
I11,instrument,0,,,680061,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,0.7,0.9,1.2,3.2,21.9,24.6,2.1,0.0,0.0,False
I12,instrument,0,,,680068,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,0.1,0.1,0.1,1.4,21.2,24.4,1.5,0.0,0.0,False
I21,instrument,0,,,752475,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.064,1.0,1.1,1.5,2.7,16.8,19.2,2.0,0.0,0.0,False
I22,instrument,0,,,745872,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0635,0.2,0.3,0.4,0.8,15.9,20.8,0.7,0.0,0.0,False
I31,instrument,0,,,745950,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0635,0.8,1.3,2.8,6.6,19.9,43.6,3.4,0.0,0.0,False
I32,instrument,0,,,752538,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.064,0.2,0.3,0.3,10.2,20.9,48.9,1.2,0.0,0.0,False
VrmsA,instrument,0,,,680056,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,112.7,120.4,122.4,124.5,124.8,126.5,122.5,0.0,0.0,False
VrmsB,instrument,0,,,745871,2026-03-06 05:02:46.906243,2026-07-20 05:46:41,3264.7,1.0,0.0635,112.3,120.6,122.7,124.8,125.2,126.5,122.7,0.0,0.0,False
Panel1 (HVAC),shared,2,heat_pump;solar_pump,solar_pump,680231,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,-5691.0,-459.0,-189.0,-100.0,-98.0,-84.0,-409.3,1.0,0.0,True
Panel2 (H2O),shared,4,water_heater;hair_dryer;sprinklers;bath_lights,water_heater;sprinklers,752567,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.064,-4622.0,-339.0,-172.0,-115.0,-109.0,-104.0,-256.5,1.0,0.0,True
Panel3 (Kitchen),shared,9,dryer;washing_machine;dishwasher;microwave;pressure_pump;refrigerator;computers;tv_stereo;vacuum_cleaner,washing_machine;dishwasher;pressure_pump,680204,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,-10007.0,-1470.0,-289.0,-161.0,-107.0,-95.0,-464.4,1.0,0.0,True
Shop,unmapped,0,,,680180,2026-03-06 05:02:46.906243,2026-07-20 05:46:40,3264.7,1.0,0.0579,-46.0,1.0,5.0,7.0,58.0,3959.0,6.5,0.009,0.0324,False
