appliance,panel,measure,events,on,off,trusted,pct_on
heat_pump,Panel1 (,raw,142,8740,61610,8740,12.18
solar_pump,Panel1 (,osc,25,1687,57342,1687,2.35
jacuzzi_pump,Panel1 (,osc,0,0,62587,0,0.0
strip_heater_1,Panel1 (,raw,0,0,63051,0,0.0
strip_heater_2,Panel1 (,raw,0,0,63051,0,0.0
water_heater,Panel2 (,raw,7,684,0,684,0.95
hair_dryer,Panel2 (,raw,0,0,70999,0,0.0
sprinklers,Panel2 (,osc,2,24,61457,24,0.03
bath_lights,Panel2 (,osc,16,665,65577,665,0.93
dryer,Panel3 (,raw,0,0,69184,0,0.0
washing_machine,Panel3 (,osc,23,3507,20453,3507,4.89
dishwasher,Panel3 (,paired,3,1843,0,1843,2.57
microwave,Panel3 (,raw,57,660,1109,0,0.92
pressure_pump,Panel3 (,osc,1,17,54271,17,0.02
refrigerator,Panel3 (,osc,279,31717,20776,31717,44.19
computers,Panel3 (,floor,12,9561,45869,9561,13.32
tv_stereo,Panel3 (,floor,15,5829,35090,5829,8.12
vacuum_cleaner,Panel3 (,raw,5,104,51625,0,0.14
oven,Panel3 (,raw,0,0,69633,0,0.0
cooktop,Panel3 (,raw,5,95,69602,95,0.13
toaster,Panel3 (,raw,21,248,51623,248,0.35
coffee_maker,Panel3 (,raw,7,418,51420,418,0.58
clothes_iron,Panel3 (,raw,5,483,57206,483,0.67
garage_opener,Panel3 (,raw,99,394,1248,394,0.55
