appliance,pos,neg,nan,trusted
heat_pump,62086,1049755,3385,62086
solar_pump,33479,999816,81931,55157
jacuzzi_pump,340,1054043,60843,432
strip_heater,0,1053415,61811,0
water_heater,16149,1097890,1187,1114039
hair_dryer,3125,1092508,19593,3125
sprinklers,10783,879290,225153,10783
bath_lights,27585,945968,141673,27585
dryer,2861,1025940,86425,2861
washing_machine,74027,486517,554682,142496
dishwasher,31745,728337,355144,760082
microwave,22742,177503,914981,160329
pressure_pump,5797,851434,257995,5797
refrigerator,103361,506098,505767,609459
garage_fridge,191779,505289,418158,695945
garage_freezer,86153,505358,523715,585502
computers,83198,591613,440415,83198
tv_stereo,73404,504058,537764,73404
vacuum_cleaner,634,827818,286774,782
oven,9280,1038678,67268,9280
cooktop,35672,1027861,51693,35672
counter_appliance,19718,826275,269233,19718
garage_opener,7440,181720,926066,165310
