appliance,panel,measure,events,spec_band,meas_p5,meas_p50,meas_p95,dur_p10,dur_p50,dur_p90,spec_dur,additive_band,mid_grain_s,window_survival,modal_hour,flags
heat_pump,Panel1 (,raw,187,2500-5700,3846,4620,5045,97,442,1485,60-10800,2500-5700/thr1200,10,1.0,14,
solar_pump,Panel1 (,osc,153,100-250,61,129,170,140,362,1145,300-10800,100-250/thr25,10,1.0,15,
jacuzzi_pump,Panel1 (,osc,7,800-2000,558,662,878,210,339,510,600-14400,800-2000/thr400,10,1.0,13,
strip_heater_1,Panel1 (,raw,180,6000-12000,3879,4626,5036,147,448,1499,120-7200,7000-12000/thr5800,10,1.0,14,SPEC_HIGH
strip_heater_2,Panel1 (,raw,180,6000-12000,3879,4626,5036,147,448,1499,120-7200,7000-12000/thr5800,10,1.0,14,SPEC_HIGH
water_heater,Panel2 (,raw,74,2000-4300,1420,3921,4136,23,322,731,30-7200,2000-4300/thr500,10,0.973,13,
hair_dryer,Panel2 (,raw,17,1200-1800,1213,1529,1674,31,221,608,30-900,1200-1800/thr800,10,0.941,11,
sprinklers,Panel2 (,osc,409,100-300,49,75,285,24,158,1191,60-5400,100-300/thr50,10,1.0,17,
bath_lights,Panel2 (,osc,354,100-300,43,76,285,33,256,1353,60-3600,100-300/thr80,10,1.0,17,
dryer,Panel3 (,raw,144,4000-7000,2526,3441,5443,125,246,1268,300-5400,4000-7000/thr1000,10,1.0,18,
washing_machine,Panel3 (,osc,500,200-2000,117,179,2947,172,642,1427,300-5400,200-2000/thr50,10,1.0,14,
dishwasher,Panel3 (,paired,19,200-1800,757,1159,2203,3597,4030,5032,900-9000,200-1800/thr50,10,1.0,14,
microwave,Panel3 (,raw,875,900-1500,544,1258,1683,7,38,403,10-900,900-1500/thr200,10,0.862,15,
pressure_pump,Panel3 (,osc,554,500-1000,312,1067,1416,7,42,317,20-1200,500-1000/thr200,10,0.852,14,
refrigerator,Panel3 (,osc,832,80-300,53,94,659,187,926,2009,300-3600,80-300/thr50,10,1.0,15,
computers,Panel3 (,floor,253,200-500,127,160,311,282,1189,8818,600-43200,200-500/thr100,10,1.0,15,
tv_stereo,Panel3 (,floor,341,100-200,67,115,252,386,2186,11958,600-25200,100-200/thr80,10,1.0,14,
vacuum_cleaner,Panel3 (,raw,671,800-1200,484,1151,1564,21,57,736,60-3600,800-1200/thr600,10,1.0,16,
oven,Panel3 (,raw,187,2000-4000,830,2422,4676,211,484,2256,600-14400,2000-4000/thr1200,10,1.0,17,
cooktop,Panel3 (,raw,348,1500-5000,811,1444,3844,43,200,1600,120-5400,1500-5000/thr1200,10,1.0,16,
toaster,Panel3 (,raw,478,800-1500,471,1195,1621,25,114,1484,60-240,800-1500/thr600,10,1.0,14,
coffee_maker,Panel3 (,raw,268,800-1500,367,689,2139,117,492,2514,240-900,800-1500/thr600,10,1.0,14,
clothes_iron,Panel3 (,raw,185,1000-1800,396,952,3242,206,540,2193,600-3600,1000-1800/thr700,10,1.0,14,
garage_opener,Panel3 (,raw,1691,300-800,183,328,1027,7,154,5022,3-25,300-800/thr250,10,0.864,14,DUR_MISMATCH
