app,kind,n_cycles,a,A,tau,sn,alpha,beta,dt,dd,model,strong_pos,trusted,weak_fired
heat_pump,ramp,79,3680.6,1.0797951492897866,-2.8829250660891213e-16,0.07757751957067174,28.62397700138489,2.2840545180929217,20.0,3121.0,p1*p2*p4,18463,18463,55
solar_pump,step,186,130.02409438351611,1.1567331999414379,-0.006685901707544612,0.048714097796049856,4.766940680075353,0.7471363624639953,289.0,4696.0,p1*p5,26962,26962,93
water_heater,ramp,50,3920.6830584707645,1.004749902502179,0.17882908317271687,0.001961674629341845,59.21818503687936,0.2812774283534064,109.0,15156.0,p1*p2*p4,12008,12008,50
hair_dryer,impulse,17,1528.8139534883721,1.0157958687727826,0.08218326086696431,0.006928925885311826,0.5954787589180908,0.009406104332849548,239.0,201649.0,p1*p2*p4,2359,2359,15
sprinklers,step,310,112.25185528756958,1.168812985200379,0.07815006522837901,0.07309166951863161,9.553418151081939,1.612740924425259,68.0,2047.0,p1*p5,13703,13703,151
bath_lights,plateau,310,112.25185528756958,1.168812985200379,0.07815006522837901,0.07309166951863161,9.553418151081939,1.612740924425259,68.0,2047.0,p1*p2*p4,42641,42641,149
dryer,plateau,216,4691.099943693694,1.0419276886518802,0.23413575826583158,0.024009257177169493,7.5386928851072685,0.31607977462245684,35.5,390.0,p1*p2*p4,1895,1895,8
washing_machine,cycle,1279,296.3333333333333,1.0861823844018683,0.013486436106702108,0.05351054056630877,0.05518211186255232,0.004755725976645387,76.0,424.0,p1*p5,90903,90903,123
dishwasher,cycle,1262,291.90999999999997,1.085838118687511,0.013486436106702108,0.05297644036887107,0.06705426057176261,0.0057558042585112434,77.0,437.0,p1*p2*p3*p4,114781,0,141
microwave,impulse,443,1336.8333333333333,1.0280996938220734,0.018017628404747875,0.02711361636497437,,,37.0,828.5,p1*p2*p4,25976,0,136
pressure_pump,step,171,759.5294117647059,1.4372093023255814,0.4328395857941591,0.5217482719230335,1.9140520728817079,0.8368413713994446,15.0,202.0,p1*p5,15740,15740,116
refrigerator,cycle,1586,100.3420112302195,1.146687160088328,0.059820189553797525,0.07411906183735684,1.2154534204684855,0.17829100335182604,129.0,472.0,p1*p2*p3*p4,298061,298061,223
computers,plateau,1117,236.8181818181818,1.0757341576506954,0.0030491746481924836,0.035633562405569044,0.43196122516162755,0.03271421952537828,111.0,432.5,p1*p2*p4,149618,149618,137
tv_stereo,plateau,1745,146.32051282051282,1.1149739698226417,0.06626197155269306,0.06145471809856596,1.608703669738859,0.18495904717812883,171.0,541.0,p1*p2*p5,53683,53683,141
vacuum_cleaner,impulse,139,1049.8461538461538,1.3336631881971932,0.029206921598913027,0.3217542700650244,3.3341104355487934,1.1124699177267428,15.0,290.0,p1*p2*p4,18392,0,115
